Lab-No: Lab-0
Attendant-Name: 5
No of Computers: 5
Lab-No: Lab-1
Attendant-Name: 5
No of Computers: 5
Lab-No: Lab-2
Attendant-Name: 5
No of Computers: 5
Lab-No: Lab-0
Attendant-Name: 5
No of Computers: 5
Lab-No: Lab-1
Attendant-Name: 5
No of Computers: 5
Lab-No: Lab-2
Attendant-Name: 5
No of Computers: 5
Lab-No: Lab-3
Attendant-Name: 5
No of Computers: 5
Lab-No: Lab-0
Attendant-Name: 5
No of Computers: 5
Lab-No: Lab-1
Attendant-Name: 5
No of Computers: 5
Lab-No: Lab-2
Attendant-Name: 5
No of Computers: 5
Lab-No: Lab-3
Attendant-Name: 3
No of Computers: 3
Lab-No: Lab-4
Attendant-Name: 3
No of Computers: 3
